ID,Size Input,Optimal BST,Knuth's BST,Bisection heuristic BST
1,10,5759,5759,5893
2,10,6928,6928,7203
3,10,2889,2889,3058
4,10,5758,5758,6127
5,10,5136,5136,5136
6,10,6743,6743,6806
7,10,8256,8256,8990
8,10,6324,6324,6324
9,10,5219,5219,5237
10,10,6804,6804,7112
11,10,6466,6466,6466
12,10,4636,4636,4636
13,10,5107,5107,5378
14,10,6518,6518,6518
15,10,4973,4973,5085
16,10,6799,6799,6834
17,10,7087,7087,7331
18,10,7084,7084,7084
19,10,7068,7068,7235
20,10,6231,6231,6330
21,10,5512,5512,5775
22,10,6546,6546,6546
23,10,8237,8237,8237
24,10,8940,8940,9424
25,10,6945,6945,7334
26,10,8188,8188,8197
27,10,5356,5356,5707
28,10,6635,6635,6635
29,10,5667,5667,5987
30,10,6664,6664,6719
31,10,6087,6087,6147
32,10,6671,6671,7054
33,10,8390,8390,8777
34,10,4720,4720,4765
35,10,5895,5895,6434
36,10,5319,5319,5319
37,10,5910,5910,6067
38,10,6106,6106,6369
39,10,5614,5614,5852
40,10,4953,4953,4961
41,10,6337,6337,6353
42,10,7755,7755,8059
43,10,6013,6013,6013
44,10,10605,10605,10664
45,10,6645,6645,7019
46,10,6941,6941,6941
47,10,8171,8171,8171
48,10,6108,6108,6306
49,10,5230,5230,5257
50,10,7627,7627,7627
51,100,134978,134978,139802
52,100,133060,133060,136519
53,100,122448,122448,127300
54,100,140305,140305,144430
55,100,130724,130724,133088
56,100,136517,136517,140357
57,100,130376,130376,135483
58,100,119849,119849,123664
59,100,134417,134417,136802
60,100,140119,140119,143681
61,100,147092,147092,149044
62,100,129510,129510,130581
63,100,135779,135779,140345
64,100,136143,136143,140234
65,100,133504,133504,137569
66,100,130057,130057,133185
67,100,130582,130582,137610
68,100,122130,122130,127167
69,100,140871,140871,145320
70,100,126918,126918,130453
71,100,113653,113653,116552
72,100,132631,132631,135148
73,100,146835,146835,150735
74,100,154702,154702,159633
75,100,126217,126217,130503
76,100,113736,113736,118386
77,100,135635,135635,139233
78,100,140453,140453,143143
79,100,128181,128181,131857
80,100,130681,130681,134849
81,100,146201,146201,149749
82,100,138597,138597,141872
83,100,138911,138911,140565
84,100,131512,131512,133803
85,100,131159,131159,133088
86,100,135171,135171,140352
87,100,134222,134222,137297
88,100,136200,136200,140205
89,100,130187,130187,134461
90,100,132423,132423,135491
91,100,118837,118837,123659
92,100,120040,120040,122198
93,100,146128,146128,147474
94,100,121964,121964,125199
95,100,110970,110970,113746
96,100,130757,130757,137014
97,100,138452,138452,142203
98,100,117589,117589,121564
99,100,121879,121879,128362
100,100,129962,129962,132462
101,1000,2099358,2099358,2156395
102,1000,2160357,2160357,2213069
103,1000,2110496,2110496,2153788
104,1000,2177564,2177564,2221033
105,1000,2152897,2152897,2204205
106,1000,2142291,2142291,2189045
107,1000,2144453,2144453,2190688
108,1000,2158145,2158145,2206619
109,1000,2138699,2138699,2187801
110,1000,2082588,2082588,2126162
111,1000,2178785,2178785,2237261
112,1000,2099627,2099627,2148557
113,1000,2143226,2143226,2189941
114,1000,2078659,2078659,2129619
115,1000,2056699,2056699,2110760
116,1000,2047806,2047806,2096053
117,1000,2103321,2103321,2155147
118,1000,2074438,2074438,2125385
119,1000,2061338,2061338,2107096
120,1000,2102430,2102430,2149994
121,1000,2100429,2100429,2143217
122,1000,2141902,2141902,2191059
123,1000,2094755,2094755,2140631
124,1000,2073229,2073229,2117309
125,1000,2146968,2146968,2193949
126,1000,2108127,2108127,2163777
127,1000,2097592,2097592,2145000
128,1000,2135535,2135535,2193293
129,1000,2134362,2134362,2174181
130,1000,2125746,2125746,2175878
131,1000,2061844,2061844,2112274
132,1000,2129161,2129161,2180079
133,1000,2060001,2060001,2103571
134,1000,2157782,2157782,2208837
135,1000,2106572,2106572,2153900
136,1000,2124060,2124060,2172885
137,1000,2128529,2128529,2174301
138,1000,2094471,2094471,2142787
139,1000,2141896,2141896,2193048
140,1000,2058905,2058905,2110790
141,1000,2116050,2116050,2167062
142,1000,2128654,2128654,2186159
143,1000,2081082,2081082,2134551
144,1000,2143092,2143092,2186682
145,1000,2166145,2166145,2219149
146,1000,2127360,2127360,2179335
147,1000,2146305,2146305,2200046
148,1000,2101715,2101715,2156075
149,1000,2115608,2115608,2170088
150,1000,2062418,2062418,2114313
